[08-Apr-2018 09:17:18 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\Auth\LoginController::$redirectTo in /home/ubuntu/workspace/base/app/Http/Controllers/Auth/LoginController.php on line 29
[04-May-2018 16:27:52 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\EventsController::edit() in /home/ubuntu/workspace/base/app/Http/Controllers/EventsController.php on line 163
[04-May-2018 19:55:36 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 282624 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 19:55:45 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 389120 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 19:56:07 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 290816 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 19:56:36 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 389120 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 19:58:54 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 290816 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:00:07 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 389120 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:00:33 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 397312 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:00:41 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 389120 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:03:40 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 389120 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:07:58 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 364544 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:10:08 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 389120 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:13:51 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 389120 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[04-May-2018 20:15:29 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 290816 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 00:57:57 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 290816 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 01:04:41 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 393216 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 01:05:24 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 393216 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 02:19:22 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 344064 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 02:19:43 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 352256 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 02:20:07 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 356352 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 02:20:16 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 708608 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 02:21:42 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 344064 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 02:21:45 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 471040 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 02:23:27 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 348160 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 04:44:18 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 471040 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 04:45:45 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 352256 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 04:46:06 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 593920 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 04:53:03 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 352256 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 04:57:40 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 397312 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
[05-May-2018 05:03:35 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 450560 bytes) in /home/ubuntu/workspace/base/vendor/laravel/framework/src/Illuminate/View/Concerns/ManagesLayouts.php on line 132
